Scanning X=630-660 across Y=740-840 for non-151515
X=656 Y=760 = FFFFFF
X=642 Y=800 = 262335
X=644 Y=800 = 262335
X=646 Y=800 = 262335
X=648 Y=800 = 262335
X=650 Y=800 = 262335
X=652 Y=800 = 262335
X=654 Y=800 = 262335
X=656 Y=800 = 262335
X=658 Y=800 = 262335
X=660 Y=800 = 262335
X=630 Y=802 = 262335
X=632 Y=802 = 262335
X=634 Y=802 = 262335
X=636 Y=802 = 262335
X=638 Y=802 = 262335
X=640 Y=802 = 262335
X=642 Y=802 = 262335
X=644 Y=802 = 262335
X=646 Y=802 = 262335
X=648 Y=802 = 262335
X=650 Y=802 = 262335
X=652 Y=802 = 262335
X=654 Y=802 = 262335
X=656 Y=802 = 262335
X=658 Y=802 = 262335
X=660 Y=802 = 262335
X=630 Y=804 = 262335
X=632 Y=804 = 262335
X=634 Y=804 = 262335
X=636 Y=804 = 262335
X=638 Y=804 = 262335
X=640 Y=804 = 262335
X=642 Y=804 = 262335
X=644 Y=804 = 262335
X=646 Y=804 = 262335
X=648 Y=804 = 262335
X=650 Y=804 = 262335
X=652 Y=804 = 262335
X=654 Y=804 = 262335
X=656 Y=804 = 262335
X=658 Y=804 = 262335
X=660 Y=804 = 262335
X=630 Y=806 = 262335
X=632 Y=806 = 262335
X=634 Y=806 = 262335
X=636 Y=806 = 262335
X=638 Y=806 = 262335
X=640 Y=806 = 262335
X=642 Y=806 = 262335
X=644 Y=806 = 262335
X=646 Y=806 = 262335
X=648 Y=806 = 262335
X=650 Y=806 = 262335
X=652 Y=806 = 262335
X=654 Y=806 = 262335
X=656 Y=806 = 262335
X=658 Y=806 = 262335
X=660 Y=806 = 262335
X=630 Y=808 = 262335
X=632 Y=808 = 262335
X=634 Y=808 = 262335
X=636 Y=808 = 262335
X=638 Y=808 = 262335
X=640 Y=808 = 262335
X=642 Y=808 = 262335
X=644 Y=808 = 262335
X=646 Y=808 = 262335
X=648 Y=808 = 262335
X=650 Y=808 = 262335
X=652 Y=808 = 262335
X=654 Y=808 = 262335
X=656 Y=808 = 262335
X=658 Y=808 = 262335
X=660 Y=808 = 262335
X=630 Y=810 = 262335
X=632 Y=810 = 262335
X=634 Y=810 = 262335
X=636 Y=810 = 262335
X=638 Y=810 = 262335
X=640 Y=810 = 262335
X=642 Y=810 = 262335
X=644 Y=810 = 262335
X=646 Y=810 = 262335
X=648 Y=810 = 262335
X=650 Y=810 = 262335
X=652 Y=810 = 262335
X=654 Y=810 = 262335
X=656 Y=810 = 262335
X=658 Y=810 = 262335
X=660 Y=810 = 262335
X=630 Y=812 = 262335
X=632 Y=812 = 262335
X=634 Y=812 = 262335
X=636 Y=812 = 262335
X=638 Y=812 = 262335
X=640 Y=812 = 262335
X=642 Y=812 = 262335
X=644 Y=812 = 262335
X=646 Y=812 = 262335
X=648 Y=812 = 262335
X=650 Y=812 = 262335
X=652 Y=812 = 262335
X=654 Y=812 = 262335
X=656 Y=812 = 262335
X=658 Y=812 = 262335
X=660 Y=812 = 262335
X=630 Y=814 = 262335
X=632 Y=814 = 262335
X=634 Y=814 = 262335
X=636 Y=814 = 262335
X=638 Y=814 = 262335
X=640 Y=814 = 262335
X=642 Y=814 = 262335
X=644 Y=814 = 262335
X=646 Y=814 = 262335
X=648 Y=814 = 262335
X=650 Y=814 = 262335
X=652 Y=814 = 262335
X=654 Y=814 = 262335
X=656 Y=814 = 262335
X=658 Y=814 = 262335
X=660 Y=814 = 262335
X=630 Y=816 = 262335
X=632 Y=816 = 262335
X=634 Y=816 = 262335
X=636 Y=816 = 262335
X=638 Y=816 = 262335
X=640 Y=816 = 262335
X=642 Y=816 = 262335
X=644 Y=816 = 262335
X=646 Y=816 = 262335
X=648 Y=816 = 262335
X=650 Y=816 = 262335
X=652 Y=816 = 262335
X=654 Y=816 = 262335
X=656 Y=816 = 262335
X=658 Y=816 = 262335
X=660 Y=816 = 262335
X=630 Y=818 = 262335
X=632 Y=818 = 262335
X=634 Y=818 = 262335
X=636 Y=818 = 262335
X=638 Y=818 = 262335
X=640 Y=818 = 262335
X=642 Y=818 = 262335
X=644 Y=818 = 262335
X=646 Y=818 = 262335
X=648 Y=818 = 262335
X=650 Y=818 = 262335
X=652 Y=818 = 262335
X=654 Y=818 = 262335
X=656 Y=818 = 262335
X=658 Y=818 = 262335
X=660 Y=818 = 262335
X=630 Y=820 = 262335
X=632 Y=820 = 262335
X=634 Y=820 = 262335
X=636 Y=820 = 262335
X=638 Y=820 = 262335
X=640 Y=820 = 262335
X=642 Y=820 = 262335
X=644 Y=820 = 262335
X=646 Y=820 = 262335
X=648 Y=820 = 262335
X=650 Y=820 = 262335
X=652 Y=820 = 262335
X=654 Y=820 = 262335
X=656 Y=820 = 262335
X=658 Y=820 = 262335
X=660 Y=820 = 262335
X=630 Y=822 = 262335
X=632 Y=822 = 262335
X=634 Y=822 = 262335
X=636 Y=822 = 262335
X=638 Y=822 = 262335
X=640 Y=822 = 262335
X=642 Y=822 = 262335
X=644 Y=822 = 262335
X=646 Y=822 = 262335
X=648 Y=822 = 262335
X=650 Y=822 = 262335
X=652 Y=822 = 262335
X=654 Y=822 = 262335
X=656 Y=822 = 262335
X=658 Y=822 = 262335
X=660 Y=822 = 262335
X=630 Y=824 = 262335
X=632 Y=824 = 262335
X=634 Y=824 = 262335
X=636 Y=824 = 262335
X=638 Y=824 = 262335
X=640 Y=824 = 262335
X=642 Y=824 = 262335
X=644 Y=824 = 262335
X=646 Y=824 = 262335
X=648 Y=824 = 262335
X=650 Y=824 = 262335
X=652 Y=824 = 262335
X=654 Y=824 = 262335
X=656 Y=824 = 262335
X=658 Y=824 = 262335
X=660 Y=824 = 262335
X=630 Y=826 = 262335
X=632 Y=826 = 262335
X=634 Y=826 = 262335
X=636 Y=826 = 262335
X=638 Y=826 = 262335
X=640 Y=826 = 262335
X=642 Y=826 = 262335
X=644 Y=826 = 262335
X=646 Y=826 = 262335
X=648 Y=826 = 262335
X=650 Y=826 = 262335
X=652 Y=826 = 262335
X=654 Y=826 = 262335
X=656 Y=826 = 262335
X=658 Y=826 = 262335
X=660 Y=826 = 262335
X=630 Y=828 = 262335
X=632 Y=828 = 262335
X=634 Y=828 = 262335
X=636 Y=828 = 262335
X=638 Y=828 = 262335
X=640 Y=828 = 262335
X=642 Y=828 = 262335
X=644 Y=828 = 262335
X=646 Y=828 = 262335
X=648 Y=828 = 262335
X=650 Y=828 = 262335
X=652 Y=828 = 262335
X=654 Y=828 = 262335
X=656 Y=828 = 262335
X=658 Y=828 = 262335
X=660 Y=828 = 262335
X=630 Y=830 = 262335
X=632 Y=830 = 262335
X=634 Y=830 = 262335
X=636 Y=830 = 262335
X=638 Y=830 = 262335
X=640 Y=830 = 262335
X=642 Y=830 = 262335
X=644 Y=830 = 262335
X=646 Y=830 = 262335
X=648 Y=830 = 262335
X=650 Y=830 = 262335
X=652 Y=830 = 262335
X=654 Y=830 = 262335
X=656 Y=830 = 262335
X=658 Y=830 = 262335
X=660 Y=830 = 262335
X=630 Y=832 = 262335
X=632 Y=832 = 262335
X=634 Y=832 = 262335
X=636 Y=832 = 262335
X=638 Y=832 = 262335
X=640 Y=832 = 262335
X=642 Y=832 = 262335
X=644 Y=832 = 262335
X=646 Y=832 = 262335
X=648 Y=832 = 262335
X=650 Y=832 = 262335
X=652 Y=832 = 262335
X=654 Y=832 = 262335
X=656 Y=832 = 262335
X=658 Y=832 = 262335
X=660 Y=832 = 262335
X=630 Y=834 = 262335
X=632 Y=834 = 262335
X=634 Y=834 = 262335
X=636 Y=834 = 262335
X=638 Y=834 = 262335
X=640 Y=834 = 262335
X=642 Y=834 = 262335
X=644 Y=834 = 262335
X=646 Y=834 = 262335
X=648 Y=834 = 262335
X=650 Y=834 = 262335
X=652 Y=834 = 262335
X=654 Y=834 = 262335
X=656 Y=834 = 262335
X=658 Y=834 = 262335
X=660 Y=834 = 262335
X=630 Y=836 = 363343
X=632 Y=836 = 262335
X=634 Y=836 = 262335
X=636 Y=836 = B5B5B6
X=638 Y=836 = BBBBBB
X=640 Y=836 = 86848B
X=642 Y=836 = 262335
X=644 Y=836 = 262335
X=646 Y=836 = 262335
X=648 Y=836 = 262335
X=650 Y=836 = 262335
X=652 Y=836 = 262335
X=654 Y=836 = 262335
X=656 Y=836 = 262335
X=658 Y=836 = 262335
X=660 Y=836 = 262335
X=630 Y=838 = 262335
X=632 Y=838 = 262335
X=634 Y=838 = 262335
X=636 Y=838 = 262335
X=638 Y=838 = 5B5964
X=640 Y=838 = 86848B
X=642 Y=838 = 262335
X=644 Y=838 = 262335
X=646 Y=838 = 262335
X=648 Y=838 = 262335
X=650 Y=838 = 262335
X=652 Y=838 = 262335
X=654 Y=838 = 262335
X=656 Y=838 = 262335
X=658 Y=838 = 262335
X=660 Y=838 = 262335
X=630 Y=840 = 262335
X=632 Y=840 = 262335
X=634 Y=840 = 262335
X=636 Y=840 = 262335
X=638 Y=840 = 5B5964
X=640 Y=840 = 86848B
X=642 Y=840 = 262335
X=644 Y=840 = 262335
X=646 Y=840 = 262335
X=648 Y=840 = 929297
X=650 Y=840 = BBBBBB
X=652 Y=840 = 818087
X=654 Y=840 = 262335
X=656 Y=840 = 262335
X=658 Y=840 = 383646
X=660 Y=840 = B5B5B5
